pair_id,source_idx,target_idx,source_global_node,target_global_node,source_timepoint,target_timepoint,euclidean_distance_pc20,graph_path_num_nodes,graph_path_length_pc20,straight_path_length_pc20,path_length_ratio,connected_pair,used_fallback,pair_selection_mode,main_figure_pair_selection_mode,no_metric_based_pair_selection,state_space,visualization_space,selected_k_graph,graph_density,graph_components_by_k,endpoint_connected_fraction_by_k,interpretation,selected_for_main_figure,main_figure_selected_rank
32,1966,1650,4347,8194,1,2,3.81044340133667,5,9.209354400634766,3.81044340133667,2.4168721145167003,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
33,2225,1920,4606,8464,1,2,3.0952041149139404,2,3.0952043533325195,3.0952041149139404,1.0000000770283866,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
34,1954,750,4335,7294,1,2,3.4462995529174805,5,8.259357452392578,3.4462995529174805,2.3965872163957953,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
35,3569,3263,5950,9807,1,2,3.8412482738494873,2,3.8412482738494873,3.8412482738494873,1.0,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
36,1100,473,3481,7017,1,2,3.0914151668548584,2,3.0914154052734375,3.0914151668548584,1.0000000771227953,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
37,2217,801,4598,7345,1,2,4.982424736022949,6,10.788773536682129,4.982424736022949,2.165366083441112,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
38,3387,3236,5768,9780,1,2,4.11998987197876,4,10.555105209350586,4.11998987197876,2.5619250380052883,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
39,637,1735,3018,8279,1,2,3.479428291320801,4,6.940540313720703,3.479428291320801,1.9947358395151906,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
40,674,820,3055,7364,1,2,4.501118183135986,7,15.458580017089844,4.501118183135986,3.4343866097556353,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
41,445,1604,2826,8148,1,2,6.465987205505371,7,14.025176048278809,6.465987205505371,2.1690695639387094,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
42,544,1651,2925,8195,1,2,4.149449825286865,4,8.48453426361084,4.149449825286865,2.0447371629621465,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
43,1628,753,4009,7297,1,2,3.9014532566070557,3,5.090308666229248,3.9014532566070557,1.3047211721962535,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
44,2271,2035,4652,8579,1,2,3.73129940032959,4,6.8248443603515625,3.73129940032959,1.8290797998543662,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
45,3252,2100,5633,8644,1,2,4.544148921966553,5,8.767996788024902,4.544148921966553,1.9295135213637347,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
46,3122,2567,5503,9111,1,2,3.225476026535034,4,6.621731758117676,3.225476026535034,2.0529471320334283,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
47,3547,1384,5928,7928,1,2,4.1028828620910645,5,10.068401336669922,4.1028828620910645,2.45398215720409,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
48,1476,2885,3857,9429,1,2,4.973120212554932,7,14.330199241638184,4.973120212554932,2.881530835603121,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
49,1222,2055,3603,8599,1,2,6.502191543579102,8,21.485021591186523,6.502191543579102,3.3042738663094187,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
50,112,904,2493,7448,1,2,6.28712797164917,6,16.851232528686523,6.28712797164917,2.6802750961447814,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
51,3241,2928,5622,9472,1,2,5.283181667327881,6,15.278416633605957,5.283181667327881,2.8918968901051345,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
52,727,2367,3108,8911,1,2,3.6712353229522705,4,7.348258972167969,3.6712353229522705,2.0015766699092374,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
53,2337,147,4718,6691,1,2,7.015921115875244,9,25.254146575927734,7.015921115875244,3.5995482501626235,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
54,1480,2434,3861,8978,1,2,6.390846252441406,5,14.843218803405762,6.390846252441406,2.3225748542668216,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
55,1365,569,3746,7113,1,2,2.682607412338257,4,6.545404434204102,2.682607412338257,2.439941231840142,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",True,1.0
56,1350,3157,3731,9701,1,2,3.448212146759033,5,7.848491668701172,3.448212146759033,2.2761046405099963,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
57,3700,1916,6081,8460,1,2,4.584466457366943,5,9.791740417480469,4.584466457366943,2.1358516871130706,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
58,3966,955,6347,7499,1,2,4.1581621170043945,4,7.112618923187256,4.1581621170043945,1.7105198698484845,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10,0.0008897168494031971,10:1;15:1;20:1;30:1;50:1;80:1;100:1,10:1.000;15:1.000;20:1.000;30:1.000;50:1.000;80:1.000;100:1.000,"density-aware diagnostic, not lineage inference",False,
