artifact,kind,figure_stem,format,claim_supported,bytes,source_tables_or_json
figures/ch04/new3/fig4_11d_wfrfm_raw_minus_equal_growth_heatmap.pdf,figure,fig4_11d_wfrfm_raw_minus_equal_growth_heatmap,pdf,WFR-FM growth readout changes under raw-depth minus equal-depth mass convention.,29258,outputs/ch04/cache/exp10_stochastic_bridge_manifest.json; outputs/ch04/table4_6_eb_downsampling_diagnostics.csv; outputs/ch04/table4_6b_eb_bridge_sampling_diagnostics.csv; outputs/ch04/table4_6c_wfrfm_growth_by_bin_full.csv; outputs/ch04/table4_6d_wfrfm_sampling_sensitivity_full.csv; outputs/ch04/wfrfm_sampling_sensitivity_summary_full.json
figures/ch04/new3/fig4_11d_wfrfm_raw_minus_equal_growth_heatmap.svg,figure,fig4_11d_wfrfm_raw_minus_equal_growth_heatmap,svg,WFR-FM growth readout changes under raw-depth minus equal-depth mass convention.,30696,outputs/ch04/cache/exp10_stochastic_bridge_manifest.json; outputs/ch04/table4_6_eb_downsampling_diagnostics.csv; outputs/ch04/table4_6b_eb_bridge_sampling_diagnostics.csv; outputs/ch04/table4_6c_wfrfm_growth_by_bin_full.csv; outputs/ch04/table4_6d_wfrfm_sampling_sensitivity_full.csv; outputs/ch04/wfrfm_sampling_sensitivity_summary_full.json
figures/ch04/new3/fig4_11e_wfrfm_mass_convention_agreement_summary.png,figure,fig4_11e_wfrfm_mass_convention_agreement_summary,png,WFR-FM rank agreement is high while signs and calibration remain convention-dependent.,126984,outputs/ch04/cache/exp10_stochastic_bridge_manifest.json; outputs/ch04/table4_6_eb_downsampling_diagnostics.csv; outputs/ch04/table4_6b_eb_bridge_sampling_diagnostics.csv; outputs/ch04/table4_6c_wfrfm_growth_by_bin_full.csv; outputs/ch04/table4_6d_wfrfm_sampling_sensitivity_full.csv; outputs/ch04/wfrfm_sampling_sensitivity_summary_full.json
figures/ch04/new3/fig4_11e_wfrfm_mass_convention_agreement_summary.pdf,figure,fig4_11e_wfrfm_mass_convention_agreement_summary,pdf,WFR-FM rank agreement is high while signs and calibration remain convention-dependent.,11892,outputs/ch04/cache/exp10_stochastic_bridge_manifest.json; outputs/ch04/table4_6_eb_downsampling_diagnostics.csv; outputs/ch04/table4_6b_eb_bridge_sampling_diagnostics.csv; outputs/ch04/table4_6c_wfrfm_growth_by_bin_full.csv; outputs/ch04/table4_6d_wfrfm_sampling_sensitivity_full.csv; outputs/ch04/wfrfm_sampling_sensitivity_summary_full.json
figures/ch04/new3/fig4_11e_wfrfm_mass_convention_agreement_summary.svg,figure,fig4_11e_wfrfm_mass_convention_agreement_summary,svg,WFR-FM rank agreement is high while signs and calibration remain convention-dependent.,10109,outputs/ch04/cache/exp10_stochastic_bridge_manifest.json; outputs/ch04/table4_6_eb_downsampling_diagnostics.csv; outputs/ch04/table4_6b_eb_bridge_sampling_diagnostics.csv; outputs/ch04/table4_6c_wfrfm_growth_by_bin_full.csv; outputs/ch04/table4_6d_wfrfm_sampling_sensitivity_full.csv; outputs/ch04/wfrfm_sampling_sensitivity_summary_full.json
figures/ch04/new3/fig4_11f_stochastic_bridge_demo.png,figure,fig4_11f_stochastic_bridge_demo,png,Stochastic bridge width is a separate synthetic normalized path-family assumption from EB mass convention.,709104,outputs/ch04/cache/exp10_stochastic_bridge_manifest.json; outputs/ch04/table4_6_eb_downsampling_diagnostics.csv; outputs/ch04/table4_6b_eb_bridge_sampling_diagnostics.csv; outputs/ch04/table4_6c_wfrfm_growth_by_bin_full.csv; outputs/ch04/table4_6d_wfrfm_sampling_sensitivity_full.csv; outputs/ch04/wfrfm_sampling_sensitivity_summary_full.json
figures/ch04/new3/fig4_11f_stochastic_bridge_demo.pdf,figure,fig4_11f_stochastic_bridge_demo,pdf,Stochastic bridge width is a separate synthetic normalized path-family assumption from EB mass convention.,150658,outputs/ch04/cache/exp10_stochastic_bridge_manifest.json; outputs/ch04/table4_6_eb_downsampling_diagnostics.csv; outputs/ch04/table4_6b_eb_bridge_sampling_diagnostics.csv; outputs/ch04/table4_6c_wfrfm_growth_by_bin_full.csv; outputs/ch04/table4_6d_wfrfm_sampling_sensitivity_full.csv; outputs/ch04/wfrfm_sampling_sensitivity_summary_full.json
figures/ch04/new3/fig4_11f_stochastic_bridge_demo.svg,figure,fig4_11f_stochastic_bridge_demo,svg,Stochastic bridge width is a separate synthetic normalized path-family assumption from EB mass convention.,991925,outputs/ch04/cache/exp10_stochastic_bridge_manifest.json; outputs/ch04/table4_6_eb_downsampling_diagnostics.csv; outputs/ch04/table4_6b_eb_bridge_sampling_diagnostics.csv; outputs/ch04/table4_6c_wfrfm_growth_by_bin_full.csv; outputs/ch04/table4_6d_wfrfm_sampling_sensitivity_full.csv; outputs/ch04/wfrfm_sampling_sensitivity_summary_full.json
outputs/ch04/table4_6_eb_downsampling_diagnostics.csv,source_table_or_json,,csv,"Source checked for the final sampling-depth, mass-convention, or bridge-width figure package.",6542,table4_6_eb_downsampling_diagnostics.csv
outputs/ch04/table4_6b_eb_bridge_sampling_diagnostics.csv,source_table_or_json,,csv,"Source checked for the final sampling-depth, mass-convention, or bridge-width figure package.",2648,table4_6b_eb_bridge_sampling_diagnostics.csv
outputs/ch04/table4_6c_wfrfm_growth_by_bin_full.csv,source_table_or_json,,csv,"Source checked for the final sampling-depth, mass-convention, or bridge-width figure package.",13819,table4_6c_wfrfm_growth_by_bin_full.csv
outputs/ch04/table4_6d_wfrfm_sampling_sensitivity_full.csv,source_table_or_json,,csv,"Source checked for the final sampling-depth, mass-convention, or bridge-width figure package.",1631,table4_6d_wfrfm_sampling_sensitivity_full.csv
outputs/ch04/wfrfm_sampling_sensitivity_summary_full.json,source_table_or_json,,json,"Source checked for the final sampling-depth, mass-convention, or bridge-width figure package.",6145,wfrfm_sampling_sensitivity_summary_full.json
outputs/ch04/cache/exp10_stochastic_bridge_manifest.json,source_table_or_json,,json,"Source checked for the final sampling-depth, mass-convention, or bridge-width figure package.",286,cache/exp10_stochastic_bridge_manifest.json
figures/ch04/new3/README_final_check.md,readme,,md,Final check and claim-boundary summary.,1911,
figures/ch04/new3/final_polish_manifest.csv,manifest,,csv,Artifact list with supported claims.,11694,
