cell_id,state_1,state_2,time,condition,fate_label,batch,donor,replicate
control_cell_000041,-1.1404619,-0.04571594,0.0,control,progenitor,batch_C,donor_3,replicate_1
control_cell_000042,-1.1632926,0.15057398,0.0,control,progenitor,batch_B,donor_2,replicate_2
control_cell_000043,-1.1635776,0.033103384,0.0,control,progenitor,batch_A,donor_4,replicate_1
control_cell_000044,-1.1685816,0.006057063,0.0,control,progenitor,batch_A,donor_1,replicate_2
control_cell_000045,-1.0567755,0.13179152,0.0,control,progenitor,batch_B,donor_1,replicate_1
control_cell_000046,-1.1252304,0.04716375,0.0,control,progenitor,batch_C,donor_3,replicate_1
control_cell_000047,-1.2420691,-0.007030139,0.0,control,progenitor,batch_A,donor_3,replicate_2
control_cell_000048,-1.0747769,0.06927749,0.0,control,progenitor,batch_B,donor_3,replicate_2
control_cell_000049,-1.1107386,0.0960245,0.0,control,progenitor,batch_A,donor_1,replicate_1
control_cell_000050,-1.1231327,-0.23444755,0.0,control,progenitor,batch_B,donor_2,replicate_2
control_cell_000051,-1.1193691,-0.29187304,0.0,control,progenitor,batch_A,donor_2,replicate_1
control_cell_000052,-1.2878771,0.03614149,0.0,control,progenitor,batch_A,donor_4,replicate_2
control_cell_000053,-1.2069682,0.10964328,0.0,control,progenitor,batch_A,donor_2,replicate_2
control_cell_000054,-1.1887224,0.17943363,0.0,control,progenitor,batch_A,donor_4,replicate_1
control_cell_000055,-1.2301875,-0.008778196,0.0,control,progenitor,batch_C,donor_1,replicate_1
control_cell_000056,-1.1528488,-0.10917933,0.0,control,progenitor,batch_B,donor_2,replicate_1
control_cell_000057,-1.1321503,0.049345136,0.0,control,progenitor,batch_B,donor_2,replicate_2
control_cell_000058,-1.2633474,0.035505015,0.0,control,progenitor,batch_A,donor_2,replicate_2
control_cell_000059,-1.2623415,0.026483212,0.0,control,progenitor,batch_A,donor_1,replicate_2
control_cell_000060,-1.1742096,-0.038623214,0.0,control,progenitor,batch_C,donor_4,replicate_2
control_cell_000061,-1.0803555,0.11834196,0.0,control,progenitor,batch_B,donor_1,replicate_1
control_cell_000062,-1.1395389,0.06590025,0.0,control,progenitor,batch_B,donor_1,replicate_1
control_cell_000063,-1.1831578,0.05071283,0.0,control,progenitor,batch_B,donor_3,replicate_2
control_cell_000064,-1.1497605,0.027216798,0.0,control,progenitor,batch_A,donor_4,replicate_2
control_cell_000065,-1.0963937,-0.029987317,0.0,control,progenitor,batch_A,donor_2,replicate_1
control_cell_000066,-1.248785,0.115384385,0.0,control,progenitor,batch_A,donor_4,replicate_1
control_cell_000067,-1.12281,0.02528383,0.0,control,progenitor,batch_A,donor_4,replicate_2
control_cell_000068,-1.1900289,0.03881289,0.0,control,progenitor,batch_A,donor_2,replicate_2
control_cell_000069,-1.1922334,-0.00011141212,0.0,control,progenitor,batch_C,donor_1,replicate_1
control_cell_000070,-1.071109,-0.044621706,0.0,control,progenitor,batch_A,donor_2,replicate_2
control_cell_000071,-1.2263833,0.07791153,0.0,control,progenitor,batch_C,donor_3,replicate_2
control_cell_000072,-1.0941147,0.008154071,0.0,control,progenitor,batch_C,donor_4,replicate_1
control_cell_000073,-1.2109859,-0.06873648,0.0,control,progenitor,batch_A,donor_3,replicate_2
control_cell_000074,-1.22645,0.03500098,0.0,control,progenitor,batch_B,donor_2,replicate_2
control_cell_000075,-1.2493404,-0.016325487,0.0,control,progenitor,batch_B,donor_1,replicate_1
control_cell_000076,-1.1405321,0.035578147,0.0,control,progenitor,batch_C,donor_1,replicate_1
control_cell_000077,-1.1622949,0.116324015,0.0,control,progenitor,batch_C,donor_1,replicate_1
control_cell_000078,-1.235757,0.036401898,0.0,control,progenitor,batch_A,donor_2,replicate_2
control_cell_000079,-1.0444789,0.22473687,0.0,control,progenitor,batch_A,donor_1,replicate_2
control_cell_000080,-1.1304998,-0.012099812,0.0,control,progenitor,batch_C,donor_4,replicate_1
control_cell_000081,-1.2618488,-0.12349001,0.0,control,progenitor,batch_A,donor_1,replicate_2
control_cell_000082,-1.0236652,0.03956453,0.0,control,progenitor,batch_A,donor_1,replicate_1
control_cell_000083,-1.072107,0.0993568,0.0,control,progenitor,batch_A,donor_2,replicate_2
control_cell_000084,-1.059592,0.049127933,0.0,control,progenitor,batch_B,donor_2,replicate_1
control_cell_000085,-1.237787,0.05605785,0.0,control,progenitor,batch_C,donor_3,replicate_1
control_cell_000086,-1.2584652,-0.06356796,0.0,control,progenitor,batch_B,donor_1,replicate_1
control_cell_000087,-1.1218373,-0.07909017,0.0,control,progenitor,batch_C,donor_2,replicate_1
control_cell_000088,-1.209985,-0.018866349,0.0,control,progenitor,batch_A,donor_2,replicate_2
control_cell_000089,-1.164734,-0.02161241,0.0,control,progenitor,batch_C,donor_1,replicate_2
control_cell_000090,-1.0082927,-0.00787568,0.0,control,progenitor,batch_C,donor_1,replicate_2
control_cell_000091,-1.2048682,0.110536605,0.0,control,progenitor,batch_B,donor_1,replicate_2
control_cell_000092,-1.163195,0.10307554,0.0,control,progenitor,batch_A,donor_2,replicate_1
control_cell_000093,-1.1571037,0.00030370013,0.0,control,progenitor,batch_B,donor_4,replicate_2
control_cell_000094,-1.112153,-0.030739672,0.0,control,progenitor,batch_C,donor_2,replicate_2
control_cell_000095,-1.0941746,0.00884905,0.0,control,progenitor,batch_A,donor_1,replicate_2
control_cell_000096,-1.1498928,0.11783629,0.0,control,progenitor,batch_C,donor_3,replicate_1
control_cell_000097,-1.1703687,-0.12058605,0.0,control,progenitor,batch_B,donor_3,replicate_1
control_cell_000098,-0.9534061,0.14413935,0.0,control,progenitor,batch_C,donor_3,replicate_1
control_cell_000099,-1.18294,-0.029086662,0.0,control,progenitor,batch_A,donor_2,replicate_1
control_cell_000100,-1.210958,0.011890167,0.0,control,progenitor,batch_B,donor_4,replicate_1
control_cell_000101,-1.1207032,0.033397757,0.0,control,progenitor,batch_A,donor_1,replicate_1
control_cell_000102,-1.1752958,0.029229099,0.0,control,progenitor,batch_B,donor_3,replicate_2
control_cell_000103,-1.1009628,-0.011279032,0.0,control,progenitor,batch_A,donor_2,replicate_1
control_cell_000104,-1.0274577,0.080600865,0.0,control,progenitor,batch_A,donor_4,replicate_1
control_cell_000105,-1.1705323,0.060009744,0.0,control,progenitor,batch_A,donor_4,replicate_1
control_cell_000106,-0.99529654,0.15683877,0.0,control,progenitor,batch_A,donor_1,replicate_2
control_cell_000107,-1.24824,-0.07412265,0.0,control,progenitor,batch_A,donor_1,replicate_1
control_cell_000108,-1.2558033,-0.03889553,0.0,control,progenitor,batch_A,donor_1,replicate_2
control_cell_000109,-1.206987,-0.07036077,0.0,control,progenitor,batch_B,donor_3,replicate_1
control_cell_000110,-1.0790592,-0.0391262,0.0,control,progenitor,batch_A,donor_1,replicate_2
control_cell_000111,-1.1648766,-0.05708432,0.0,control,progenitor,batch_C,donor_4,replicate_2
control_cell_000112,-1.2948495,-0.1799827,0.0,control,progenitor,batch_A,donor_1,replicate_2
control_cell_000113,-1.2220718,0.041916076,0.0,control,progenitor,batch_A,donor_2,replicate_1
control_cell_000114,-1.0917028,-0.046131782,0.0,control,progenitor,batch_A,donor_1,replicate_1
control_cell_000115,-1.2447302,0.0069204434,0.0,control,progenitor,batch_B,donor_1,replicate_1
control_cell_000116,-1.1005447,0.12415041,0.0,control,progenitor,batch_C,donor_1,replicate_1
control_cell_000117,-1.0478415,-0.080103315,0.0,control,progenitor,batch_A,donor_4,replicate_2
control_cell_000118,-1.0153131,-0.04247812,0.0,control,progenitor,batch_C,donor_4,replicate_1
control_cell_000119,-1.0664102,0.00543893,0.0,control,progenitor,batch_C,donor_3,replicate_2
control_cell_000120,-1.182972,-0.14461575,0.0,control,progenitor,batch_C,donor_1,replicate_2
control_cell_000121,-1.1637251,-0.12475066,0.0,control,progenitor,batch_B,donor_4,replicate_2
control_cell_000122,-1.0108281,-0.0385786,0.0,control,progenitor,batch_A,donor_2,replicate_2
control_cell_000123,-1.1539648,-0.00923991,0.0,control,progenitor,batch_A,donor_1,replicate_2
control_cell_000124,-1.2168846,0.052966524,0.0,control,progenitor,batch_B,donor_2,replicate_2
control_cell_000125,-1.09798,0.047484376,0.0,control,progenitor,batch_A,donor_2,replicate_1
control_cell_000126,-1.0270427,0.11594758,0.0,control,progenitor,batch_A,donor_2,replicate_1
control_cell_000127,-1.1209042,-0.01744233,0.0,control,progenitor,batch_A,donor_4,replicate_2
control_cell_000128,-1.3111283,0.06366709,0.0,control,progenitor,batch_C,donor_2,replicate_2
control_cell_000129,-1.1451626,0.020035705,0.0,control,progenitor,batch_B,donor_4,replicate_1
control_cell_000130,-0.9897193,0.06593597,0.0,control,progenitor,batch_B,donor_3,replicate_2
control_cell_000131,-1.1364235,-0.035124313,0.0,control,progenitor,batch_B,donor_1,replicate_2
control_cell_000132,-1.2425972,-0.0772281,0.0,control,progenitor,batch_B,donor_1,replicate_2
control_cell_000133,-1.1457214,-0.16675217,0.0,control,progenitor,batch_C,donor_1,replicate_2
control_cell_000134,-1.1008583,0.060308404,0.0,control,progenitor,batch_B,donor_1,replicate_2
control_cell_000135,-1.2297134,0.09863216,0.0,control,progenitor,batch_A,donor_4,replicate_2
control_cell_000136,-1.2040092,0.032316323,0.0,control,progenitor,batch_A,donor_4,replicate_1
control_cell_000137,-1.2688044,0.09523308,0.0,control,progenitor,batch_B,donor_3,replicate_2
control_cell_000138,-1.2108407,-0.044860333,0.0,control,progenitor,batch_C,donor_4,replicate_1
control_cell_000139,-1.1316984,0.0773973,0.0,control,progenitor,batch_B,donor_1,replicate_1
control_cell_000140,-1.1265653,-0.12711181,0.0,control,progenitor,batch_B,donor_1,replicate_1
control_cell_000141,-1.0798765,0.021607636,0.0,control,progenitor,batch_B,donor_2,replicate_2
control_cell_000142,-0.93314034,-0.017104365,0.0,control,progenitor,batch_B,donor_3,replicate_2
control_cell_000143,-1.2138306,0.034223713,0.0,control,progenitor,batch_B,donor_2,replicate_2
control_cell_000144,-1.1148807,-0.04213723,0.0,control,progenitor,batch_C,donor_1,replicate_2
control_cell_000145,-1.0767256,-0.008731612,0.0,control,progenitor,batch_A,donor_3,replicate_1
control_cell_000146,-1.1702305,0.04498183,0.0,control,progenitor,batch_A,donor_3,replicate_1
control_cell_000147,-1.2533506,0.028210176,0.0,control,progenitor,batch_A,donor_4,replicate_2
control_cell_000148,-0.9969636,0.037294213,0.0,control,progenitor,batch_B,donor_1,replicate_2
control_cell_000149,-1.1828272,-0.020317014,0.0,control,progenitor,batch_A,donor_1,replicate_1
control_cell_000150,-1.2886567,0.06896,0.0,control,progenitor,batch_A,donor_4,replicate_2
control_cell_000151,-1.0503492,0.07676724,0.0,control,progenitor,batch_A,donor_3,replicate_1
control_cell_000152,-1.2711804,0.06632969,0.0,control,progenitor,batch_B,donor_4,replicate_1
control_cell_000153,-1.1519438,0.029162759,0.0,control,progenitor,batch_B,donor_2,replicate_2
control_cell_000154,-1.1753951,-0.013172083,0.0,control,progenitor,batch_C,donor_3,replicate_2
control_cell_000155,-1.2901679,0.0075346446,0.0,control,progenitor,batch_A,donor_4,replicate_2
control_cell_000156,-1.1230879,-0.07326588,0.0,control,progenitor,batch_B,donor_1,replicate_1
control_cell_000157,-1.203753,0.11819149,0.0,control,progenitor,batch_B,donor_1,replicate_2
control_cell_000158,-1.1934047,0.036977,0.0,control,progenitor,batch_A,donor_4,replicate_1
control_cell_000159,-1.1039562,-0.112785555,0.0,control,progenitor,batch_A,donor_2,replicate_1
control_cell_000160,-1.1663256,-0.03933245,0.0,control,progenitor,batch_A,donor_4,replicate_2
control_cell_000161,-1.1295274,0.052139852,0.0,control,progenitor,batch_A,donor_4,replicate_2
control_cell_000162,-1.1507035,0.041055985,0.0,control,progenitor,batch_C,donor_1,replicate_2
control_cell_000163,-0.9716581,0.079639226,0.0,control,progenitor,batch_A,donor_4,replicate_2
control_cell_000164,-1.0723089,0.002241775,0.0,control,progenitor,batch_B,donor_3,replicate_2
control_cell_000165,-1.1187576,0.1120949,0.0,control,progenitor,batch_C,donor_1,replicate_1
control_cell_000166,-1.1354948,-0.07291549,0.0,control,progenitor,batch_A,donor_1,replicate_2
control_cell_000167,-1.0840459,0.07369206,0.0,control,progenitor,batch_A,donor_4,replicate_2
control_cell_000168,-1.0976273,0.059639912,0.0,control,progenitor,batch_B,donor_1,replicate_1
control_cell_000169,-1.2194555,-0.13083705,0.0,control,progenitor,batch_A,donor_3,replicate_1
control_cell_000170,-1.1310441,-0.0066759028,0.0,control,progenitor,batch_C,donor_1,replicate_1
control_cell_000171,-1.185199,-0.23644951,0.0,control,progenitor,batch_A,donor_3,replicate_2
control_cell_000172,-1.2497854,0.08966725,0.0,control,progenitor,batch_C,donor_3,replicate_2
control_cell_000173,-1.2031701,0.028847335,0.0,control,progenitor,batch_C,donor_1,replicate_2
control_cell_000174,-1.2612548,0.115096435,0.0,control,progenitor,batch_A,donor_1,replicate_2
control_cell_000175,-0.96393764,0.12131521,0.0,control,progenitor,batch_B,donor_3,replicate_2
control_cell_000176,-1.1760436,0.04079186,0.0,control,progenitor,batch_C,donor_1,replicate_2
control_cell_000177,-1.0326256,-0.009136791,0.0,control,progenitor,batch_A,donor_1,replicate_2
control_cell_000178,-1.0071745,0.028585553,0.0,control,progenitor,batch_B,donor_4,replicate_2
control_cell_000179,-1.2183007,0.036776476,0.0,control,progenitor,batch_A,donor_3,replicate_2
control_cell_000180,-1.1412412,0.09000351,0.0,control,progenitor,batch_A,donor_4,replicate_1
control_cell_000181,-1.1510732,-0.18083318,0.0,control,progenitor,batch_A,donor_1,replicate_2
control_cell_000182,-1.1652608,-0.013023919,0.0,control,progenitor,batch_A,donor_4,replicate_2
control_cell_000183,-1.1140018,0.045065045,0.0,control,progenitor,batch_C,donor_3,replicate_1
control_cell_000184,-1.1408333,0.026395483,0.0,control,progenitor,batch_B,donor_1,replicate_1
control_cell_000185,-1.0877912,-0.064758904,0.0,control,progenitor,batch_A,donor_2,replicate_2
control_cell_000186,-1.1993034,-0.001814822,0.0,control,progenitor,batch_B,donor_3,replicate_1
control_cell_000187,-1.1998032,-0.0857361,0.0,control,progenitor,batch_A,donor_2,replicate_2
control_cell_000188,-1.1782892,-0.08831909,0.0,control,progenitor,batch_A,donor_2,replicate_1
control_cell_000189,-1.1241761,-0.09200684,0.0,control,progenitor,batch_A,donor_1,replicate_1
control_cell_000190,-1.1953036,-0.049968272,0.0,control,progenitor,batch_A,donor_2,replicate_2
control_cell_000191,-1.1669387,0.039897554,0.0,control,progenitor,batch_B,donor_2,replicate_2
control_cell_000192,-1.3185754,-0.0034506873,0.0,control,progenitor,batch_A,donor_1,replicate_2
control_cell_000193,-0.99019885,0.01058772,0.0,control,progenitor,batch_A,donor_1,replicate_2
control_cell_000194,-1.2514411,-0.21997409,0.0,control,progenitor,batch_A,donor_2,replicate_1
control_cell_000195,-1.183957,0.08631032,0.0,control,progenitor,batch_B,donor_2,replicate_1
control_cell_000196,-1.1055712,0.024751326,0.0,control,progenitor,batch_B,donor_3,replicate_2
control_cell_000197,-1.0714816,-0.093186244,0.0,control,progenitor,batch_A,donor_3,replicate_2
control_cell_000198,-0.9892996,-0.07675422,0.0,control,progenitor,batch_B,donor_2,replicate_2
control_cell_000199,-1.0900621,-0.13498782,0.0,control,progenitor,batch_A,donor_2,replicate_2
control_cell_000200,-1.292459,-0.06425921,0.0,control,progenitor,batch_B,donor_4,replicate_1
control_cell_000201,-1.2082888,0.061722662,0.0,control,progenitor,batch_B,donor_2,replicate_2
control_cell_000202,-1.0852703,-0.011664837,0.0,control,progenitor,batch_C,donor_1,replicate_2
control_cell_000203,-1.1813632,0.011193945,0.0,control,progenitor,batch_B,donor_1,replicate_2
control_cell_000204,-1.215326,-0.09174657,0.0,control,progenitor,batch_A,donor_4,replicate_2
control_cell_000205,-1.2430779,0.012964765,0.0,control,progenitor,batch_A,donor_2,replicate_1
control_cell_000206,-1.327135,0.027658127,0.0,control,progenitor,batch_A,donor_1,replicate_1
control_cell_000207,-1.0548302,-0.01224207,0.0,control,progenitor,batch_A,donor_4,replicate_2
control_cell_000208,-1.2287996,-0.036442228,0.0,control,progenitor,batch_C,donor_2,replicate_2
control_cell_000209,-1.163907,-0.058366176,0.0,control,progenitor,batch_B,donor_1,replicate_1
control_cell_000210,-1.1197623,0.036203075,0.0,control,progenitor,batch_A,donor_4,replicate_1
control_cell_000211,-1.1749884,0.108649686,0.0,control,progenitor,batch_B,donor_1,replicate_2
control_cell_000212,-1.1269425,-0.02018993,0.0,control,progenitor,batch_B,donor_3,replicate_2
control_cell_000213,-1.2042457,0.04257035,0.0,control,progenitor,batch_B,donor_1,replicate_1
control_cell_000214,-0.9168604,-0.14215893,0.0,control,progenitor,batch_A,donor_2,replicate_1
control_cell_000215,-1.124079,-0.060815208,0.0,control,progenitor,batch_A,donor_4,replicate_1
control_cell_000216,-1.1038078,0.0037245979,0.0,control,progenitor,batch_C,donor_2,replicate_1
control_cell_000217,-1.0890516,0.09404053,0.0,control,progenitor,batch_C,donor_1,replicate_2
control_cell_000218,-1.3375438,0.12723619,0.0,control,progenitor,batch_A,donor_2,replicate_1
control_cell_000219,-1.138325,-0.0013630311,0.0,control,progenitor,batch_B,donor_2,replicate_1
control_cell_000220,-1.1273545,0.086761214,0.0,control,progenitor,batch_A,donor_1,replicate_1
control_cell_000221,-1.2912177,0.07790553,0.0,control,progenitor,batch_C,donor_1,replicate_1
control_cell_000222,-1.1493374,-0.016302548,0.0,control,progenitor,batch_A,donor_1,replicate_1
control_cell_000223,-1.3431287,0.05187152,0.0,control,progenitor,batch_B,donor_2,replicate_1
control_cell_000224,-1.1905283,0.101830624,0.0,control,progenitor,batch_A,donor_1,replicate_2
control_cell_000225,-1.1689157,-0.12537417,0.0,control,progenitor,batch_B,donor_3,replicate_2
control_cell_000226,-1.1189221,-0.14078526,0.0,control,progenitor,batch_B,donor_3,replicate_2
control_cell_000227,-1.0898563,0.010289728,0.0,control,progenitor,batch_A,donor_2,replicate_1
control_cell_000228,-0.95904386,-0.08801085,0.0,control,progenitor,batch_A,donor_4,replicate_1
control_cell_000229,-1.158213,0.14386302,0.0,control,progenitor,batch_B,donor_4,replicate_1
control_cell_000230,-1.0546888,-0.055696964,0.0,control,progenitor,batch_B,donor_4,replicate_1
control_cell_000231,-1.1320826,0.00015994851,0.0,control,progenitor,batch_C,donor_2,replicate_2
control_cell_000232,-1.1571456,-0.12784418,0.0,control,progenitor,batch_B,donor_2,replicate_2
control_cell_000233,-1.1391901,0.036001652,0.0,control,progenitor,batch_A,donor_4,replicate_1
control_cell_000234,-1.0709175,0.029162003,0.0,control,progenitor,batch_B,donor_1,replicate_1
control_cell_000235,-1.1930249,0.098273665,0.0,control,progenitor,batch_A,donor_1,replicate_1
control_cell_000236,-1.2011603,0.051217094,0.0,control,progenitor,batch_C,donor_2,replicate_1
control_cell_000237,-1.2499248,0.03281696,0.0,control,progenitor,batch_B,donor_1,replicate_1
control_cell_000238,-1.2890172,0.016290653,0.0,control,progenitor,batch_A,donor_3,replicate_2
control_cell_000239,-1.2402363,-0.039472107,0.0,control,progenitor,batch_C,donor_3,replicate_2
control_cell_000240,-1.1310539,0.1522326,0.0,control,progenitor,batch_B,donor_3,replicate_2
control_cell_000241,-1.1966944,-0.04227409,0.0,control,progenitor,batch_B,donor_4,replicate_2
control_cell_000242,-1.2252424,-0.042341784,0.0,control,progenitor,batch_C,donor_4,replicate_1
control_cell_000243,-1.144138,0.0030018585,0.0,control,progenitor,batch_B,donor_2,replicate_1
control_cell_000244,-1.16715,-0.1153583,0.0,control,progenitor,batch_B,donor_3,replicate_1
control_cell_000245,-1.2594668,-0.0151644405,0.0,control,progenitor,batch_C,donor_1,replicate_2
control_cell_000246,-1.1094733,-0.10494425,0.0,control,progenitor,batch_B,donor_3,replicate_2
control_cell_000247,-1.2119608,-0.049515724,0.0,control,progenitor,batch_A,donor_1,replicate_1
control_cell_000248,-1.0132045,0.18141153,0.0,control,progenitor,batch_C,donor_2,replicate_2
control_cell_000249,-1.2324574,0.00563353,0.0,control,progenitor,batch_A,donor_4,replicate_2
control_cell_000250,-1.244096,-0.062208474,0.0,control,progenitor,batch_A,donor_3,replicate_2
control_cell_000251,-1.234151,-0.0115427505,0.0,control,progenitor,batch_B,donor_3,replicate_1
control_cell_000252,-1.1861107,0.0057614115,0.0,control,progenitor,batch_C,donor_4,replicate_1
control_cell_000253,-1.2536273,0.13648733,0.0,control,progenitor,batch_A,donor_1,replicate_1
control_cell_000254,-1.34491,-0.07867328,0.0,control,progenitor,batch_A,donor_3,replicate_2
control_cell_000255,-1.298173,-0.026055848,0.0,control,progenitor,batch_B,donor_4,replicate_2
control_cell_000256,-1.1761844,-0.011845793,0.0,control,progenitor,batch_B,donor_3,replicate_1
control_cell_000257,-1.1950777,-0.035440974,0.0,control,progenitor,batch_A,donor_3,replicate_1
control_cell_000258,-1.1531765,0.035396367,0.0,control,progenitor,batch_C,donor_1,replicate_2
control_cell_000259,-1.1426116,-0.15367328,0.0,control,progenitor,batch_B,donor_1,replicate_2
control_cell_000260,-1.1118371,-4.504777e-05,0.0,control,progenitor,batch_A,donor_4,replicate_2
control_cell_000261,-1.1468245,0.076858744,0.0,control,progenitor,batch_A,donor_4,replicate_2
control_cell_000262,-1.1280957,-0.0005693484,0.0,control,progenitor,batch_A,donor_4,replicate_2
control_cell_000263,-1.1363858,-0.036970165,0.0,control,progenitor,batch_B,donor_2,replicate_1
control_cell_000264,-1.3186152,0.061538897,0.0,control,progenitor,batch_A,donor_4,replicate_2
control_cell_000265,-1.0522617,0.05156467,0.0,control,progenitor,batch_A,donor_2,replicate_1
control_cell_000266,-1.2203714,0.05390355,0.0,control,progenitor,batch_B,donor_3,replicate_2
control_cell_000267,-1.0811576,0.1247053,0.0,control,progenitor,batch_A,donor_2,replicate_2
control_cell_000268,-1.2200888,-0.018116366,0.0,control,progenitor,batch_A,donor_2,replicate_1
control_cell_000269,-1.0902182,0.0045928056,0.0,control,progenitor,batch_B,donor_2,replicate_2
control_cell_000270,-1.2393862,0.033169303,0.0,control,progenitor,batch_A,donor_4,replicate_1
control_cell_000271,-1.1037071,0.007037032,0.0,control,progenitor,batch_A,donor_2,replicate_1
control_cell_000272,-1.1324332,-0.020696472,0.0,control,progenitor,batch_A,donor_1,replicate_2
control_cell_000273,-1.0317377,-0.07205538,0.0,control,progenitor,batch_A,donor_3,replicate_1
control_cell_000274,-1.2548237,-0.16301829,0.0,control,progenitor,batch_A,donor_2,replicate_2
control_cell_000275,-1.180764,0.052910253,0.0,control,progenitor,batch_B,donor_2,replicate_2
control_cell_000276,-1.1634921,0.08349947,0.0,control,progenitor,batch_A,donor_4,replicate_1
control_cell_000277,-1.1185298,-0.111756966,0.0,control,progenitor,batch_A,donor_4,replicate_1
control_cell_000278,-1.0975505,-0.08676885,0.0,control,progenitor,batch_B,donor_3,replicate_1
control_cell_000279,-1.1268091,0.012578627,0.0,control,progenitor,batch_B,donor_1,replicate_2
control_cell_000280,-1.1796622,0.01884559,0.0,control,progenitor,batch_A,donor_2,replicate_1
control_cell_000281,-1.1992954,-0.09554924,0.0,control,progenitor,batch_C,donor_1,replicate_1
control_cell_000282,-1.0359737,-0.13008676,0.0,control,progenitor,batch_B,donor_3,replicate_2
control_cell_000283,-1.2748963,0.04342866,0.0,control,progenitor,batch_A,donor_2,replicate_2
control_cell_000284,-1.1004716,-0.092872955,0.0,control,progenitor,batch_C,donor_3,replicate_1
control_cell_000285,-1.1474104,0.011785787,0.0,control,progenitor,batch_C,donor_3,replicate_2
control_cell_000286,-1.1875869,0.03483667,0.0,control,progenitor,batch_A,donor_2,replicate_1
control_cell_000287,-1.2124346,0.040785655,0.0,control,progenitor,batch_B,donor_4,replicate_1
