cell_id,state_1,state_2,time,condition,fate_label
cell_000064,-1.1116899,-0.122851364,0.0,control,progenitor
cell_000065,-1.1188247,0.008204254,0.0,control,progenitor
cell_000066,-1.1617954,0.12706208,0.0,control,progenitor
cell_000067,-1.1997766,0.16482386,0.0,control,progenitor
cell_000068,-1.1680346,-0.10216132,0.0,control,progenitor
cell_000069,-1.1444064,-0.08609962,0.0,control,progenitor
cell_000070,-1.2101405,0.031762663,0.0,control,progenitor
cell_000071,-1.1055534,-0.049773417,0.0,control,progenitor
cell_000072,-1.0710076,0.09260062,0.0,control,progenitor
cell_000073,-1.0350958,0.04235307,0.0,control,progenitor
cell_000074,-1.0409257,-0.15046388,0.0,control,progenitor
cell_000075,-1.1754326,-0.06936042,0.0,control,progenitor
cell_000076,-1.1404619,-0.04571594,0.0,control,progenitor
cell_000077,-1.1632926,0.15057398,0.0,control,progenitor
cell_000078,-1.1635776,0.033103384,0.0,control,progenitor
cell_000079,-1.1685816,0.006057063,0.0,control,progenitor
cell_000080,-1.1495186,0.035865925,0.0,control,progenitor
cell_000081,-1.0567755,0.13179152,0.0,control,progenitor
cell_000082,-1.1252304,0.04716375,0.0,control,progenitor
cell_000083,-1.2420691,-0.007030139,0.0,control,progenitor
cell_000084,-1.0747769,0.06927749,0.0,control,progenitor
cell_000085,-1.1330712,0.07091152,0.0,control,progenitor
cell_000086,-1.1107386,0.0960245,0.0,control,progenitor
cell_000087,-1.1268513,-0.028455865,0.0,control,progenitor
cell_000088,-1.1231327,-0.23444755,0.0,control,progenitor
cell_000089,-1.1193691,-0.29187304,0.0,control,progenitor
cell_000090,-1.2878771,0.03614149,0.0,control,progenitor
cell_000091,-1.1117977,-0.0929943,0.0,control,progenitor
cell_000092,-1.2069682,0.10964328,0.0,control,progenitor
cell_000093,-1.1887224,0.17943363,0.0,control,progenitor
cell_000094,-1.1501536,0.032642893,0.0,control,progenitor
cell_000095,-1.02065,0.01048217,0.0,control,progenitor
cell_000096,-1.2301875,-0.008778196,0.0,control,progenitor
cell_000097,-1.1528488,-0.10917933,0.0,control,progenitor
cell_000098,-1.1704665,-0.059375368,0.0,control,progenitor
cell_000099,-1.0760514,0.0027689498,0.0,control,progenitor
cell_000100,-1.1726236,-0.008494554,0.0,control,progenitor
cell_000101,-1.1321503,0.049345136,0.0,control,progenitor
cell_000102,-1.229977,-0.08332701,0.0,control,progenitor
cell_000103,-1.0616257,-0.03298695,0.0,control,progenitor
cell_000104,-1.2633474,0.035505015,0.0,control,progenitor
cell_000105,-1.1129304,-0.12245722,0.0,control,progenitor
cell_000106,-1.1316415,0.05884665,0.0,control,progenitor
cell_000107,-1.1200491,0.05055852,0.0,control,progenitor
cell_000108,-1.2623415,0.026483212,0.0,control,progenitor
cell_000109,-1.1742096,-0.038623214,0.0,control,progenitor
cell_000110,-1.0803555,0.11834196,0.0,control,progenitor
cell_000111,-1.0064504,0.10518463,0.0,control,progenitor
cell_000112,-1.1587788,0.028217614,0.0,control,progenitor
cell_000113,-1.0886542,0.009694236,0.0,control,progenitor
cell_000114,-1.1395389,0.06590025,0.0,control,progenitor
cell_000115,-1.1547426,-0.058342956,0.0,control,progenitor
cell_000116,-1.1831578,0.05071283,0.0,control,progenitor
cell_000117,-1.1497605,0.027216798,0.0,control,progenitor
cell_000118,-1.0963937,-0.029987317,0.0,control,progenitor
cell_000119,-1.0895002,0.030307408,0.0,control,progenitor
cell_000120,-1.248785,0.115384385,0.0,control,progenitor
cell_000121,-1.1900595,-0.13240762,0.0,control,progenitor
cell_000122,-1.2336035,-0.08168361,0.0,control,progenitor
cell_000123,-1.1458261,-0.021908041,0.0,control,progenitor
cell_000124,-1.1769465,0.049576156,0.0,control,progenitor
cell_000125,-1.12281,0.02528383,0.0,control,progenitor
cell_000126,-1.1172137,0.049290773,0.0,control,progenitor
cell_000127,-1.3186363,-0.02915506,0.0,control,progenitor
cell_000128,-1.3244168,0.0028847943,0.0,control,progenitor
cell_000129,-1.1503706,0.08364258,0.0,control,progenitor
cell_000130,-1.0549892,0.016222004,0.0,control,progenitor
cell_000131,-1.1900289,0.03881289,0.0,control,progenitor
cell_000132,-1.1922334,-0.00011141212,0.0,control,progenitor
cell_000133,-1.071109,-0.044621706,0.0,control,progenitor
cell_000134,-1.0855457,0.05419211,0.0,control,progenitor
cell_000135,-1.2263833,0.07791153,0.0,control,progenitor
cell_000136,-1.0941147,0.008154071,0.0,control,progenitor
cell_000137,-1.2109859,-0.06873648,0.0,control,progenitor
cell_000138,-1.193013,0.043407556,0.0,control,progenitor
cell_000139,-1.22645,0.03500098,0.0,control,progenitor
cell_000140,-1.2493404,-0.016325487,0.0,control,progenitor
cell_000141,-1.1412282,0.19561042,0.0,control,progenitor
cell_000142,-1.2601852,0.117761165,0.0,control,progenitor
cell_000143,-1.1380126,0.032893755,0.0,control,progenitor
cell_000144,-1.1405321,0.035578147,0.0,control,progenitor
cell_000145,-1.1622949,0.116324015,0.0,control,progenitor
cell_000146,-1.1865177,0.090578765,0.0,control,progenitor
cell_000147,-1.2015494,-0.0048201475,0.0,control,progenitor
cell_000148,-1.235757,0.036401898,0.0,control,progenitor
cell_000149,-1.03439,-0.006188494,0.0,control,progenitor
cell_000150,-1.1657509,-0.08916936,0.0,control,progenitor
cell_000151,-1.1683434,-0.12742354,0.0,control,progenitor
cell_000152,-1.2230302,0.018142885,0.0,control,progenitor
cell_000153,-1.0444789,0.22473687,0.0,control,progenitor
cell_000154,-1.1969268,0.11482401,0.0,control,progenitor
cell_000155,-1.1304998,-0.012099812,0.0,control,progenitor
cell_000156,-1.1153924,0.0049533187,0.0,control,progenitor
cell_000157,-1.1411684,-0.032666653,0.0,control,progenitor
cell_000158,-1.2618488,-0.12349001,0.0,control,progenitor
cell_000159,-1.0977404,-0.022136007,0.0,control,progenitor
cell_000160,-1.1976871,0.0006804501,0.0,control,progenitor
cell_000161,-1.0864054,0.014429116,0.0,control,progenitor
cell_000162,-1.2024844,0.098103434,0.0,control,progenitor
cell_000163,-1.0236652,0.03956453,0.0,control,progenitor
cell_000164,-1.072107,0.0993568,0.0,control,progenitor
cell_000165,-1.059592,0.049127933,0.0,control,progenitor
cell_000166,-1.1021322,0.041572846,0.0,control,progenitor
cell_000167,-1.237787,0.05605785,0.0,control,progenitor
cell_000168,-1.2584652,-0.06356796,0.0,control,progenitor
cell_000169,-1.0457147,0.06721761,0.0,control,progenitor
cell_000170,-1.0310081,-0.02173395,0.0,control,progenitor
cell_000171,-1.2421799,-0.019234976,0.0,control,progenitor
cell_000172,-1.1418375,0.0063190972,0.0,control,progenitor
cell_000173,-1.0593055,-0.028901635,0.0,control,progenitor
cell_000174,-1.1218373,-0.07909017,0.0,control,progenitor
cell_000175,-1.1139746,0.00024868402,0.0,control,progenitor
cell_000176,-1.209985,-0.018866349,0.0,control,progenitor
cell_000177,-1.164734,-0.02161241,0.0,control,progenitor
cell_000178,-1.0082927,-0.00787568,0.0,control,progenitor
cell_000179,-1.1695117,-0.16779608,0.0,control,progenitor
cell_000180,-1.2215366,-0.021045875,0.0,control,progenitor
cell_000181,-1.2048682,0.110536605,0.0,control,progenitor
cell_000182,-1.163195,0.10307554,0.0,control,progenitor
cell_000183,-1.1450636,0.0029782269,0.0,control,progenitor
cell_000184,-1.1571037,0.00030370013,0.0,control,progenitor
cell_000185,-1.0124964,-0.18556885,0.0,control,progenitor
cell_000186,-1.3101237,-0.043453667,0.0,control,progenitor
cell_000187,-1.1488378,0.055208355,0.0,control,progenitor
cell_000188,-1.112153,-0.030739672,0.0,control,progenitor
cell_000189,-1.0684766,0.08241563,0.0,control,progenitor
cell_000190,-1.1352754,0.077012606,0.0,control,progenitor
cell_000191,-1.1281884,-0.04491864,0.0,control,progenitor
cell_000192,-1.0941746,0.00884905,0.0,control,progenitor
cell_000193,-1.1498928,0.11783629,0.0,control,progenitor
cell_000194,-1.3460698,-0.113414735,0.0,control,progenitor
cell_000195,-1.2449657,-0.029060852,0.0,control,progenitor
cell_000196,-1.1703687,-0.12058605,0.0,control,progenitor
cell_000197,-1.2288127,-0.06886733,0.0,control,progenitor
cell_000198,-0.9534061,0.14413935,0.0,control,progenitor
cell_000199,-1.18294,-0.029086662,0.0,control,progenitor
cell_000200,-1.2419363,-0.15265043,0.0,control,progenitor
cell_000201,-1.1593504,-0.07982816,0.0,control,progenitor
cell_000202,-1.156788,-0.12801647,0.0,control,progenitor
cell_000203,-1.210958,0.011890167,0.0,control,progenitor
cell_000204,-1.1207032,0.033397757,0.0,control,progenitor
cell_000205,-1.2556391,0.06837486,0.0,control,progenitor
cell_000206,-1.2140169,0.050628632,0.0,control,progenitor
cell_000207,-1.1508511,-0.110111,0.0,control,progenitor
cell_000208,-1.1752958,0.029229099,0.0,control,progenitor
cell_000209,-1.1009628,-0.011279032,0.0,control,progenitor
cell_000210,-1.0274577,0.080600865,0.0,control,progenitor
cell_000211,-1.1705323,0.060009744,0.0,control,progenitor
cell_000212,-0.99529654,0.15683877,0.0,control,progenitor
cell_000213,-1.24824,-0.07412265,0.0,control,progenitor
cell_000214,-1.0312065,-0.08466248,0.0,control,progenitor
cell_000215,-1.2558033,-0.03889553,0.0,control,progenitor
cell_000216,-1.1163819,-0.008191736,0.0,control,progenitor
cell_000217,-1.2020451,-0.053936996,0.0,control,progenitor
cell_000218,-1.206987,-0.07036077,0.0,control,progenitor
cell_000219,-0.9674694,0.023800885,0.0,control,progenitor
cell_000220,-1.0790592,-0.0391262,0.0,control,progenitor
cell_000221,-1.1648766,-0.05708432,0.0,control,progenitor
cell_000222,-1.3621367,-0.11024074,0.0,control,progenitor
cell_000223,-1.2948495,-0.1799827,0.0,control,progenitor
cell_000224,-1.2456287,0.10599645,0.0,control,progenitor
cell_000225,-1.1535549,0.1032451,0.0,control,progenitor
cell_000226,-1.1171213,0.0626047,0.0,control,progenitor
cell_000227,-1.2220718,0.041916076,0.0,control,progenitor
cell_000228,-1.0917028,-0.046131782,0.0,control,progenitor
cell_000229,-1.1052368,0.045295022,0.0,control,progenitor
cell_000230,-1.1939642,-0.08982147,0.0,control,progenitor
cell_000231,-1.2447302,0.0069204434,0.0,control,progenitor
cell_000232,-1.1238393,-0.063402064,0.0,control,progenitor
cell_000233,-1.1478732,0.045642965,0.0,control,progenitor
cell_000234,-1.1005447,0.12415041,0.0,control,progenitor
cell_000235,-1.0478415,-0.080103315,0.0,control,progenitor
cell_000236,-1.0153131,-0.04247812,0.0,control,progenitor
cell_000237,-1.0664102,0.00543893,0.0,control,progenitor
cell_000238,-1.182972,-0.14461575,0.0,control,progenitor
cell_000239,-1.1637251,-0.12475066,0.0,control,progenitor
cell_000240,-1.0726161,0.12134341,0.0,control,progenitor
cell_000241,-1.2137529,0.02415766,0.0,control,progenitor
cell_000242,-1.2080313,-0.05027878,0.0,control,progenitor
cell_000243,-1.0880405,-0.003083061,0.0,control,progenitor
cell_000244,-1.0108281,-0.0385786,0.0,control,progenitor
cell_000245,-1.0700531,0.007793073,0.0,control,progenitor
cell_000246,-1.0863378,-0.035772614,0.0,control,progenitor
cell_000247,-1.1539648,-0.00923991,0.0,control,progenitor
cell_000248,-1.2168846,0.052966524,0.0,control,progenitor
cell_000249,-1.09798,0.047484376,0.0,control,progenitor
cell_000250,-1.0270427,0.11594758,0.0,control,progenitor
cell_000251,-1.1799955,0.029844185,0.0,control,progenitor
cell_000252,-1.1998881,0.0018684253,0.0,control,progenitor
cell_000253,-1.1979799,0.12960562,0.0,control,progenitor
cell_000254,-1.1209042,-0.01744233,0.0,control,progenitor
cell_000255,-1.0545105,-0.17364924,0.0,control,progenitor
cell_000256,-1.3111283,0.06366709,0.0,control,progenitor
cell_000257,-1.1451626,0.020035705,0.0,control,progenitor
cell_000258,-1.2561117,-0.0018586969,0.0,control,progenitor
cell_000259,-0.9897193,0.06593597,0.0,control,progenitor
cell_000260,-1.1364235,-0.035124313,0.0,control,progenitor
cell_000261,-1.1815659,-0.17033583,0.0,control,progenitor
cell_000262,-1.1293888,0.06763865,0.0,control,progenitor
cell_000263,-1.2760495,-0.052913353,0.0,control,progenitor
cell_000264,-1.2425972,-0.0772281,0.0,control,progenitor
cell_000265,-1.1457214,-0.16675217,0.0,control,progenitor
cell_000266,-1.1008583,0.060308404,0.0,control,progenitor
cell_000267,-1.1700882,-0.19845667,0.0,control,progenitor
cell_000268,-1.2297134,0.09863216,0.0,control,progenitor
cell_000269,-1.3722396,-0.027801873,0.0,control,progenitor
cell_000270,-1.2444,0.064365625,0.0,control,progenitor
cell_000271,-1.2040092,0.032316323,0.0,control,progenitor
cell_000272,-1.1047632,0.14689806,0.0,control,progenitor
cell_000273,-1.1662353,0.03008355,0.0,control,progenitor
cell_000274,-1.2688044,0.09523308,0.0,control,progenitor
cell_000275,-1.2108407,-0.044860333,0.0,control,progenitor
cell_000276,-1.1517798,-0.12503074,0.0,control,progenitor
cell_000277,-1.1316984,0.0773973,0.0,control,progenitor
cell_000278,-1.1265653,-0.12711181,0.0,control,progenitor
cell_000279,-1.1599047,0.05936231,0.0,control,progenitor
cell_000280,-1.3002391,-0.08598128,0.0,control,progenitor
cell_000281,-1.0798765,0.021607636,0.0,control,progenitor
cell_000282,-1.1170423,0.14875959,0.0,control,progenitor
cell_000283,-1.1125158,0.05263104,0.0,control,progenitor
cell_000284,-0.93314034,-0.017104365,0.0,control,progenitor
cell_000285,-1.2138306,0.034223713,0.0,control,progenitor
cell_000286,-1.1148807,-0.04213723,0.0,control,progenitor
cell_000287,-1.2325917,0.18478756,0.0,control,progenitor
cell_000288,-1.1238525,-0.05858283,0.0,control,progenitor
cell_000289,-1.0767256,-0.008731612,0.0,control,progenitor
cell_000290,-1.1702305,0.04498183,0.0,control,progenitor
cell_000291,-1.2533506,0.028210176,0.0,control,progenitor
cell_000292,-0.9969636,0.037294213,0.0,control,progenitor
cell_000293,-1.180097,-0.040568423,0.0,control,progenitor
cell_000294,-1.1828272,-0.020317014,0.0,control,progenitor
cell_000295,-1.1802245,0.073304914,0.0,control,progenitor
cell_000296,-1.2886567,0.06896,0.0,control,progenitor
cell_000297,-1.180375,0.030155823,0.0,control,progenitor
cell_000298,-1.240159,0.10629048,0.0,control,progenitor
cell_000299,-1.0503492,0.07676724,0.0,control,progenitor
cell_000300,-1.2711804,0.06632969,0.0,control,progenitor
cell_000301,-1.1176116,-0.1284217,0.0,control,progenitor
cell_000302,-1.1519438,0.029162759,0.0,control,progenitor
cell_000303,-1.1055139,0.014180909,0.0,control,progenitor
cell_000304,-1.1267015,0.11788891,0.0,control,progenitor
cell_000305,-1.0519173,-0.2293644,0.0,control,progenitor
cell_000306,-1.1753951,-0.013172083,0.0,control,progenitor
cell_000307,-1.2901679,0.0075346446,0.0,control,progenitor
cell_000308,-1.0500994,-0.08692543,0.0,control,progenitor
cell_000309,-1.1230879,-0.07326588,0.0,control,progenitor
cell_000310,-1.203753,0.11819149,0.0,control,progenitor
cell_000311,-1.1934047,0.036977,0.0,control,progenitor
cell_000312,-1.2996974,0.1489854,0.0,control,progenitor
cell_000313,-1.1017878,-0.014599987,0.0,control,progenitor
cell_000314,-1.1039562,-0.112785555,0.0,control,progenitor
cell_000315,-1.0553975,-0.025918782,0.0,control,progenitor
cell_000316,-1.1663256,-0.03933245,0.0,control,progenitor
cell_000317,-1.1964521,0.05557365,0.0,control,progenitor
cell_000318,-1.1295274,0.052139852,0.0,control,progenitor
cell_000319,-1.1507035,0.041055985,0.0,control,progenitor
cell_000320,-1.1835079,0.17837855,0.0,control,progenitor
cell_000321,-1.2754344,0.10087498,0.0,control,progenitor
cell_000322,-1.0405674,-0.06817271,0.0,control,progenitor
cell_000323,-0.9716581,0.079639226,0.0,control,progenitor
cell_000324,-1.0723089,0.002241775,0.0,control,progenitor
cell_000325,-1.1673781,-0.016752707,0.0,control,progenitor
cell_000326,-1.1187576,0.1120949,0.0,control,progenitor
cell_000327,-1.1354948,-0.07291549,0.0,control,progenitor
cell_000328,-1.0840459,0.07369206,0.0,control,progenitor
cell_000329,-1.0976273,0.059639912,0.0,control,progenitor
cell_000330,-1.1716743,-0.07431913,0.0,control,progenitor
cell_000331,-1.2194555,-0.13083705,0.0,control,progenitor
cell_000332,-1.1310441,-0.0066759028,0.0,control,progenitor
cell_000333,-1.185199,-0.23644951,0.0,control,progenitor
cell_000334,-1.2497854,0.08966725,0.0,control,progenitor
cell_000335,-1.2031701,0.028847335,0.0,control,progenitor
cell_000336,-1.2612548,0.115096435,0.0,control,progenitor
cell_000337,-1.1615223,0.023203231,0.0,control,progenitor
cell_000338,-0.96393764,0.12131521,0.0,control,progenitor
cell_000339,-1.1745253,-0.047457613,0.0,control,progenitor
cell_000340,-1.1760436,0.04079186,0.0,control,progenitor
cell_000341,-1.1584179,-0.03161953,0.0,control,progenitor
cell_000342,-1.0326256,-0.009136791,0.0,control,progenitor
cell_000343,-0.96603286,0.007259405,0.0,control,progenitor
cell_000344,-1.0071745,0.028585553,0.0,control,progenitor
cell_000345,-1.0729631,-0.057968885,0.0,control,progenitor
cell_000346,-1.2183007,0.036776476,0.0,control,progenitor
cell_000347,-1.0709157,0.0032205202,0.0,control,progenitor
cell_000348,-1.2529114,-0.10882067,0.0,control,progenitor
cell_000349,-1.2641709,-0.14140977,0.0,control,progenitor
cell_000350,-1.1412412,0.09000351,0.0,control,progenitor
cell_000351,-1.1510732,-0.18083318,0.0,control,progenitor
cell_000352,-1.1652608,-0.013023919,0.0,control,progenitor
cell_000353,-0.9823201,-0.11657103,0.0,control,progenitor
cell_000354,-1.1812543,0.13646822,0.0,control,progenitor
cell_000355,-1.1140018,0.045065045,0.0,control,progenitor
cell_000356,-1.1408333,0.026395483,0.0,control,progenitor
cell_000357,-1.0877912,-0.064758904,0.0,control,progenitor
cell_000358,-1.0797553,-0.109840244,0.0,control,progenitor
cell_000359,-1.1237305,0.014299277,0.0,control,progenitor
cell_000360,-1.1993034,-0.001814822,0.0,control,progenitor
cell_000361,-1.1998032,-0.0857361,0.0,control,progenitor
cell_000362,-1.1782892,-0.08831909,0.0,control,progenitor
cell_000363,-1.1241761,-0.09200684,0.0,control,progenitor
cell_000364,-1.0930419,-0.094518326,0.0,control,progenitor
cell_000365,-1.1953036,-0.049968272,0.0,control,progenitor
cell_000366,-1.0439882,0.026423195,0.0,control,progenitor
cell_000367,-1.1669387,0.039897554,0.0,control,progenitor
cell_000368,-1.3185754,-0.0034506873,0.0,control,progenitor
cell_000369,-0.99019885,0.01058772,0.0,control,progenitor
cell_000370,-1.1445669,0.04385027,0.0,control,progenitor
cell_000371,-1.0783516,-0.15979734,0.0,control,progenitor
cell_000372,-1.2845861,0.016823303,0.0,control,progenitor
cell_000373,-1.2071902,0.10496202,0.0,control,progenitor
cell_000374,-1.1752139,-0.15476246,0.0,control,progenitor
cell_000375,-1.2514411,-0.21997409,0.0,control,progenitor
cell_000376,-1.16873,-0.01507073,0.0,control,progenitor
cell_000377,-1.183957,0.08631032,0.0,control,progenitor
cell_000378,-1.0541184,-0.013631074,0.0,control,progenitor
cell_000379,-1.3207755,0.049382526,0.0,control,progenitor
cell_000380,-1.1055712,0.024751326,0.0,control,progenitor
cell_000381,-1.0714816,-0.093186244,0.0,control,progenitor
cell_000382,-0.9892996,-0.07675422,0.0,control,progenitor
cell_000383,-1.0900621,-0.13498782,0.0,control,progenitor
cell_000384,-1.2244211,0.12130949,0.0,control,progenitor
cell_000385,-1.170872,0.067193806,0.0,control,progenitor
cell_000386,-1.1310436,-0.0083966525,0.0,control,progenitor
cell_000387,-1.040892,-0.018932706,0.0,control,progenitor
cell_000388,-1.292459,-0.06425921,0.0,control,progenitor
cell_000389,-1.1059047,0.031640727,0.0,control,progenitor
cell_000390,-1.2753646,-0.0579474,0.0,control,progenitor
cell_000391,-1.1965377,-0.029237568,0.0,control,progenitor
cell_000392,-1.2600731,-0.05026969,0.0,control,progenitor
cell_000393,-1.2082888,0.061722662,0.0,control,progenitor
cell_000394,-1.0852703,-0.011664837,0.0,control,progenitor
cell_000395,-1.1813632,0.011193945,0.0,control,progenitor
cell_000396,-1.215326,-0.09174657,0.0,control,progenitor
cell_000397,-1.2252177,-0.050785054,0.0,control,progenitor
cell_000398,-1.2430779,0.012964765,0.0,control,progenitor
cell_000399,-1.0916227,-0.12696786,0.0,control,progenitor
cell_000400,-1.1479897,-0.017594863,0.0,control,progenitor
cell_000401,-1.1226794,-0.0010351015,0.0,control,progenitor
cell_000402,-1.2662879,-0.100991145,0.0,control,progenitor
cell_000403,-1.1476461,0.08230247,0.0,control,progenitor
cell_000404,-1.327135,0.027658127,0.0,control,progenitor
cell_000405,-1.0548302,-0.01224207,0.0,control,progenitor
cell_000406,-1.1059839,-0.05624553,0.0,control,progenitor
cell_000407,-1.1595494,-0.12967308,0.0,control,progenitor
cell_000408,-1.3375474,0.075421266,0.0,control,progenitor
cell_000409,-1.2287996,-0.036442228,0.0,control,progenitor
cell_000410,-1.2609154,-0.11279757,0.0,control,progenitor
cell_000411,-1.163907,-0.058366176,0.0,control,progenitor
cell_000412,-1.1197623,0.036203075,0.0,control,progenitor
cell_000413,-1.1243321,0.019088063,0.0,control,progenitor
cell_000414,-1.0237786,-0.0854075,0.0,control,progenitor
cell_000415,-1.1543947,0.09061518,0.0,control,progenitor
cell_000416,-1.0488368,-0.11374109,0.0,control,progenitor
cell_000417,-1.1749884,0.108649686,0.0,control,progenitor
cell_000418,-1.1093537,0.015621043,0.0,control,progenitor
cell_000419,-1.1674148,-0.030704074,0.0,control,progenitor
cell_000420,-1.1269425,-0.02018993,0.0,control,progenitor
cell_000421,-1.1534063,0.0062878965,0.0,control,progenitor
cell_000422,-1.2042457,0.04257035,0.0,control,progenitor
cell_000423,-0.9168604,-0.14215893,0.0,control,progenitor
cell_000424,-1.124079,-0.060815208,0.0,control,progenitor
cell_000425,-1.1038078,0.0037245979,0.0,control,progenitor
cell_000426,-1.0890516,0.09404053,0.0,control,progenitor
cell_000427,-1.1346064,0.090564184,0.0,control,progenitor
cell_000428,-1.3375438,0.12723619,0.0,control,progenitor
cell_000429,-1.119995,0.08622747,0.0,control,progenitor
cell_000430,-1.2475901,-0.06646159,0.0,control,progenitor
cell_000431,-1.138325,-0.0013630311,0.0,control,progenitor
cell_000432,-1.1273545,0.086761214,0.0,control,progenitor
cell_000433,-1.2912177,0.07790553,0.0,control,progenitor
cell_000434,-1.1493374,-0.016302548,0.0,control,progenitor
cell_000435,-1.2676892,0.040243894,0.0,control,progenitor
cell_000436,-1.3431287,0.05187152,0.0,control,progenitor
cell_000437,-1.2693684,0.004276633,0.0,control,progenitor
cell_000438,-1.1595335,0.09356305,0.0,control,progenitor
cell_000439,-1.1642925,-0.055531085,0.0,control,progenitor
cell_000440,-1.1905283,0.101830624,0.0,control,progenitor
cell_000441,-1.1070962,-0.0308504,0.0,control,progenitor
cell_000442,-1.1689157,-0.12537417,0.0,control,progenitor
cell_000443,-1.1189221,-0.14078526,0.0,control,progenitor
cell_000444,-1.0898563,0.010289728,0.0,control,progenitor
cell_000445,-0.95904386,-0.08801085,0.0,control,progenitor
cell_000446,-1.158213,0.14386302,0.0,control,progenitor
cell_000447,-1.0546888,-0.055696964,0.0,control,progenitor
cell_000448,-1.1320826,0.00015994851,0.0,control,progenitor
cell_000449,-1.1274436,-0.055894434,0.0,control,progenitor
cell_000450,-1.1571456,-0.12784418,0.0,control,progenitor
cell_000451,-1.1391901,0.036001652,0.0,control,progenitor
cell_000452,-1.1681936,-0.12920406,0.0,control,progenitor
cell_000453,-1.0709175,0.029162003,0.0,control,progenitor
cell_000454,-1.2080812,-0.022448035,0.0,control,progenitor
cell_000455,-1.2700535,-0.08203281,0.0,control,progenitor
cell_000456,-1.1930249,0.098273665,0.0,control,progenitor
cell_000457,-1.2011603,0.051217094,0.0,control,progenitor
